Airports,Code,City,State
Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,GA
Los Angeles International Airport,LAX,Los Angeles,CA
O'Hare International Airport,ORD,Chicago,IL
Dallas/Fort Worth International Airport,DFW,Dallas/Fort Worth,TX
John F. Kennedy International Airport,JFK,New York,NY
Denver International Airport,DEN,Denver,CO
San Francisco International Airport,SFO,San Francisco,CA
McCarran International Airport,LAS,Las Vegas,NV
Seattle–Tacoma International Airport,SEA,Seattle/Tacoma,WA
Charlotte Douglas International Airport,CLT,Charlotte,NC
Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ
Miami International Airport,MIA,Miami,FL
Orlando International Airport,MCO,Orlando,FL
George Bush Intercontinental Airport,IAH,Houston,TX
Newark Liberty International Airport,EWR,Newark/New Jersey,NJ
Minneapolis–Saint Paul International Airport,MSP,Minneapolis/St. Paul,MN
Logan International Airport,BOS,Boston,MA
Detroit Metropolitan Airport,DTW,Detroit,MI
Philadelphia International Airport,PHL,Philadelphia,PA
LaGuardia Airport,LGA,New York,NY
Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale/Miami,FL
Baltimore–Washington International Airport,BWI,"Baltimore/Washington, D.C.",MD
Ronald Reagan Washington National Airport,DCA,"Washington, D.C.",VA
Salt Lake City International Airport,SLC,Salt Lake City,UT
Midway International Airport,MDW,Chicago,IL
Washington Dulles International Airport,IAD,"Washington, D.C.",VA
San Diego International Airport,SAN,San Diego,CA
Daniel K. Inouye International Airport,HNL,Honolulu,HI
Tampa International Airport,TPA,Tampa,FL
Portland International Airport,PDX,Portland,OR
